xF,pT,xsect,error
0.450,0.250,2.43480,0.04261
0.450,0.300,1.97018,0.03527
0.450,0.400,1.38841,0.01791
0.450,0.500,0.94914,0.01300
0.450,0.600,0.66037,0.00984
0.450,0.700,0.48187,0.00805
0.450,0.800,0.30480,0.00604
0.450,0.900,0.18819,0.00450
0.450,1.000,0.10070,0.00312
0.450,1.100,0.05138,0.00209
0.450,1.200,0.02897,0.00153
0.450,1.300,0.01887,0.00120
0.450,1.400,0.01162,0.00090
0.450,1.500,0.00612,0.00054
0.450,1.700,0.00315,0.00037

0.550,0.200,1.68332,0.03905
0.550,0.300,1.19762,0.02611
0.550,0.400,0.85250,0.03052
0.550,0.500,0.53802,0.02120
0.550,0.600,0.34936,0.01604
0.550,0.700,0.22658,0.01199
0.550,0.800,0.14771,0.00916
0.550,0.900,0.09560,0.00692
0.550,1.000,0.05915,0.00517
0.550,1.100,0.03260,0.00257
0.550,1.300,0.00724,0.00109
0.550,1.500,0.00214,0.00057
