iter	Passed	Remaining
817	4783	6911
818	4788	6905
819	4794	6899
820	4799	6891
821	4803	6883
822	4807	6876
823	4813	6870
824	4818	6862
825	4823	6855
826	4827	6846
827	4832	6839
828	4837	6832
829	4841	6825
830	4847	6818
831	4852	6812
832	4857	6805
833	4862	6798
834	4867	6791
835	4876	6790
836	4882	6783
837	4886	6776
838	4892	6770
839	4897	6763
840	4906	6761
841	4911	6754
842	4916	6748
843	4921	6740
844	4926	6733
845	4931	6726
846	4936	6720
847	4941	6712
848	4947	6707
849	4952	6700
850	4962	6699
851	4967	6692
852	4972	6685
853	4977	6678
854	4982	6672
855	4988	6666
856	4992	6658
857	4998	6652
858	5002	6645
859	5007	6637
860	5012	6630
861	5017	6624
862	5022	6617
863	5031	6615
864	5036	6608
865	5040	6600
866	5045	6593
867	5050	6586
868	5055	6580
869	5061	6574
870	5066	6567
871	5071	6560
872	5076	6553
873	5081	6546
874	5087	6541
875	5093	6535
876	5098	6528
877	5102	6520
878	5107	6513
879	5129	6528
880	5133	6520
881	5138	6513
882	5142	6505
883	5146	6497
884	5161	6502
885	5167	6497
886	5172	6490
887	5177	6483
888	5182	6476
889	5191	6475
890	5196	6467
891	5200	6459
892	5232	6485
893	5260	6507
894	5264	6500
895	5269	6492
896	5273	6484
897	5277	6476
898	5281	6468
899	5287	6462
900	5293	6456
901	5316	6471
902	5324	6468
903	5328	6460
904	5336	6456
905	5341	6449
906	5353	6451
907	5358	6444
908	5363	6436
909	5370	6433
910	5374	6424
911	5378	6416
912	5383	6409
913	5400	6417
914	5406	6410
915	5410	6402
916	5414	6395
917	5419	6387
918	5423	6379
919	5427	6371
920	5432	6364
921	5437	6356
922	5441	6349
923	5445	6341
924	5450	6333
925	5454	6326
926	5458	6318
927	5462	6310
928	5467	6303
929	5471	6295
930	5476	6288
931	5480	6280
932	5484	6272
933	5489	6265
934	5494	6257
935	5498	6250
936	5503	6243
937	5508	6236
938	5512	6228
939	5516	6221
940	5522	6214
941	5526	6207
942	5530	6199
943	5534	6191
944	5539	6183
945	5543	6176
946	5547	6168
947	5552	6161
948	5557	6154
949	5561	6146
950	5565	6139
951	5570	6132
952	5574	6124
953	5579	6117
954	5583	6110
955	5588	6103
956	5593	6095
957	5597	6087
958	5601	6080
959	5605	6073
960	5610	6065
961	5615	6059
962	5620	6052
963	5624	6044
964	5628	6036
965	5633	6030
966	5638	6023
967	5643	6016
968	5648	6009
969	5652	6002
970	5657	5995
971	5661	5987
972	5666	5980
973	5670	5972
974	5674	5965
975	5678	5958
976	5684	5951
977	5688	5944
978	5692	5936
979	5695	5928
980	5700	5921
981	5705	5914
982	5709	5906
983	5713	5898
984	5717	5892
985	5722	5885
986	5727	5877
987	5731	5871
988	5736	5864
989	5741	5857
990	5745	5849
991	5759	5852
992	5763	5844
993	5780	5850
994	5788	5846
995	5795	5842
996	5813	5848
997	5823	5847
998	5841	5853
999	5857	5857
1000	5861	5849
1001	5886	5862
1002	5913	5877
1003	5918	5871
1004	5923	5864
1005	5929	5858
1006	5934	5852
1007	5954	5859
1008	5958	5852
1009	5963	5845
1010	5978	5848
1011	5982	5840
1012	5990	5836
1013	5994	5829
1014	5999	5821
1015	6003	5814
1016	6008	5807
1017	6012	5799
1018	6017	5793
1019	6022	5785
1020	6026	5778
1021	6030	5770
1022	6035	5764
1023	6040	5757
1024	6044	5749
1025	6048	5742
1026	6053	5735
1027	6058	5728
1028	6062	5721
1029	6069	5715
1030	6075	5710
1031	6079	5702
1032	6084	5695
1033	6088	5688
1034	6092	5680
1035	6097	5673
1036	6102	5666
1037	6106	5659
1038	6112	5653
1039	6116	5646
1040	6121	5638
1041	6125	5632
1042	6130	5624
1043	6134	5617
1044	6138	5609
1045	6142	5602
1046	6147	5595
1047	6151	5588
1048	6156	5580
1049	6159	5573
1050	6164	5566
1051	6168	5558
1052	6172	5551
1053	6176	5543
1054	6180	5536
1055	6185	5529
1056	6189	5522
1057	6193	5514
1058	6198	5507
1059	6202	5500
1060	6206	5493
1061	6211	5486
1062	6216	5479
1063	6221	5472
1064	6225	5465
1065	6230	5459
1066	6234	5451
1067	6239	5444
1068	6244	5438
1069	6249	5431
1070	6253	5424
1071	6257	5417
1072	6262	5410
1073	6266	5403
1074	6271	5396
1075	6275	5389
1076	6280	5382
1077	6284	5375
1078	6289	5368
1079	6293	5361
1080	6298	5354
1081	6302	5347
1082	6306	5340
1083	6311	5333
1084	6316	5326
1085	6320	5319
1086	6325	5312
1087	6329	5305
1088	6334	5299
1089	6339	5292
1090	6343	5285
1091	6348	5278
1092	6352	5271
1093	6357	5264
1094	6361	5257
1095	6366	5250
1096	6382	5253
1097	6413	5268
1098	6420	5264
1099	6442	5270
1100	6446	5263
1101	6450	5256
1102	6506	5291
1103	6511	5284
1104	6526	5286
1105	6531	5279
1106	6535	5272
1107	6539	5264
1108	6544	5257
1109	6548	5250
1110	6552	5243
1111	6557	5236
1112	6561	5229
1113	6565	5221
1114	6569	5214
1115	6574	5207
1116	6578	5200
1117	6591	5199
1118	6596	5193
1119	6603	5188
1120	6608	5181
1121	6613	5174
1122	6617	5167
1123	6626	5164
1124	6636	5161
1125	6641	5155
1126	6646	5148
1127	6651	5141
1128	6655	5134
1129	6659	5127
1130	6663	5119
1131	6668	5112
1132	6673	5106
1133	6677	5099
1134	6681	5092
1135	6686	5085
1136	6690	5078
1137	6695	5071
1138	6699	5064
1139	6704	5057
1140	6709	5050
1141	6713	5044
1142	6718	5037
1143	6722	5030
1144	6727	5023
1145	6731	5016
1146	6735	5009
1147	6740	5002
1148	6745	4996
1149	6750	4989
1150	6754	4982
1151	6758	4975
1152	6763	4968
1153	6767	4961
1154	6776	4957
1155	6782	4952
1156	6788	4946
1157	6797	4942
1158	6802	4935
1159	6807	4929
1160	6813	4923
1161	6818	4917
1162	6824	4911
1163	6828	4904
1164	6833	4898
1165	6838	4891
1166	6843	4884
1167	6848	4878
1168	6852	4871
1169	6856	4864
1170	6861	4857
1171	6866	4851
1172	6870	4844
1173	6875	4837
1174	6880	4831
1175	6884	4823
1176	6888	4816
1177	6893	4809
1178	6897	4803
1179	6902	4796
1180	6906	4789
1181	6910	4782
1182	6915	4775
1183	6919	4769
1184	6924	4762
1185	6928	4755
1186	6933	4748
1187	6937	4741
1188	6941	4734
1189	6945	4727
1190	6950	4721
1191	6955	4714
1192	6960	4708
1193	6964	4701
1194	6969	4694
1195	6973	4688
1196	6978	4681
1197	6983	4675
1198	6988	4669
1199	6993	4662
1200	6998	4656
1201	7003	4649
1202	7007	4642
1203	7012	4636
1204	7017	4629
1205	7022	4623
1206	7027	4616
1207	7031	4610
1208	7036	4603
1209	7041	4597
1210	7045	4590
1211	7050	4583
1212	7055	4577
1213	7059	4570
1214	7064	4564
1215	7068	4557
1216	7074	4551
1217	7079	4545
1218	7084	4538
1219	7089	4532
1220	7094	4526
1221	7099	4520
1222	7104	4513
1223	7108	4506
1224	7114	4501
1225	7119	4494
1226	7123	4488
1227	7128	4481
1228	7134	4475
1229	7138	4469
1230	7143	4462
1231	7149	4456
1232	7153	4449
1233	7158	4443
1234	7163	4437
1235	7167	4430
1236	7171	4423
1237	7176	4417
1238	7181	4411
1239	7186	4404
1240	7190	4397
1241	7196	4391
1242	7200	4385
1243	7205	4378
1244	7209	4372
1245	7214	4365
1246	7218	4359
1247	7223	4352
1248	7228	4346
1249	7235	4341
1250	7240	4334
1251	7244	4328
1252	7249	4321
1253	7253	4315
1254	7258	4308
1255	7263	4302
1256	7268	4296
1257	7273	4289
1258	7278	4283
1259	7283	4277
1260	7288	4271
1261	7294	4265
1262	7298	4259
1263	7303	4252
1264	7308	4246
1265	7313	4240
1266	7318	4233
1267	7322	4227
1268	7327	4221
1269	7332	4214
1270	7336	4208
1271	7341	4201
1272	7346	4195
1273	7352	4190
